S.NO,Hindi Poetry,English Poetry
1,पवित्र जिसकी कामना,Holy whose desire
,उसका अतुल्य मोल है,His incredible marvellous valuation is
,अर्पण हुए जो प्रेम से,"contribution  occurred Who affection From


"
,वह दान भी अनमोल है ।,This gift is also invaluable..
,चित्त हर्ष से दिए दान से,Depiction with delight and charity
,स्वच्छंद हो ये आत्मा,delight and be this soul
,बङभाग उसके हैं,they escaped.
,बहुत जिसको मिला परमात्मा ।,I have received much from God..
,इच्छाएं पनपे मन में,wishes are read in the mind.
,दिए दान का जो बखान हो,Which portrays the gift given underneath
,फिर मिलेगा फल कहाँ,So where are the fruits?
,व्यर्थ ही सब काम हो ।,Otherwise everything works.
,दान वही साकार है,charity is genuine
,जिसमें अहम का नाश हो,where the ego is destroyed
,छल-कपट न हो,there is no deception
,जहाँ चित्त प्रेम का ही दास हो ।,where the mind is the slave of love..
2,सदियों की ठण्डी-बुझी राख सुगबुगा उठी,"Numb ash from ancient era, Awakened in igneous flames"
,मिट्टी सोने का ताज पहन इठलाती है,Soil flaunting a golden crown
,"दो राह, समय के रथ का घर्घर-नाद सुनो",Time is altering massively
,सिंहासन खाली करो कि जनता आती है,Abandon the throne as public is leading
,"जनता ? हाँ, मिट्टी की अबोध मूरतें वही","Yes, public thy poor folks, innocent stars of soil"
,जाड़े-पाले की कसक सदा सहनेवाली,Hallmark of tolerance and serenity
,जब अँग-अँग में लगे साँप हो चूस रहे,Though fenced by serpents biting brutally
,तब भी न कभी मुँह खोल दर्द कहनेवाली,Even then calm irrespective of severe pain
3,"नन्हा सपना, आँखों में पलता,","little dream, grows in the eye"
,के कोने में चुपचाप चलता।,silently moves in the corner of heart .
,"पंख फैलाए, उड़ान की चाह,","spreading the wings ,with the wish to fly,"
,"आसमान में, पाना है राह।",finding its path in the sky .
,"नन्हा सपना, सच्चा करना।""",to fulfill the little dream
4,कोशिश करने वालों की कभी हार नहीं होती,Those who try never fail
,"लहरों से डर कर नौका पार नहीं होती,",A boat afraid of the waves never reaches the river bank
,कोशिश करने वालों की कभी हार नहीं होती।,Those who try never fail.
,"नन्हीं चींटी जब दाना लेकर चलती है,","When a tiny ant carries a grain,"
,"चढ़ती दीवारों पर, सौ बार फिसलती है।","It climbs the walls, slips a hundred times."
,"मन का विश्वास रगों में साहस भरता है,","The belief in the heart fills the veins with courage,"
,"चढ़कर गिरना, गिरकर चढ़ना न अखरता है।","Climbing and falling, falling and climbing, it does not bother."
,"अखिर उसकी मेहनत बेकार नहीं होती,","In the end, the hard work is never wasted,"
,कोशिश करने वालों की कभी हार नहीं होती।,Those who try never fail
5,गिरना भी अच्छा है,Falling is good too
,औकात का पता चलता है…,Because it's shows your true worth
,बढ़ते हैं जब हाथ उठाने को…,When your hand reaches for help
,अपनों का पता चलता है!,Our loved ones are revealed
,जिन्हें गुस्सा आता है,Those who get angry 
,वे लोग सच्चे होते है,Are the truthful ones
,मैंने झूठों को अक्सर,I have often seen liars 
,मुस्कुराते हुए देखा है,with smiles on their faces
,सिख रहा हूँ अब मैं भी इंसानों को पढ़ने का हुनर,"Now I am learning too, how to read people."
,सुना है चेहरे पे किताबों से ज्यादा लिखा होता है.,I have heard the faces have more written then the book 
6,"चाँद से मैंने एक बात कही,","I said one thing to the moon,"
,"मेरे सपनों का साथी हो तुम,","you are the companion of my dreams ,"
,"रात की चाँदनी में भीख माँगते,","even in the moonlight of the night,"
,सपनों की चमक हो तुम।,you're the glow of my dreams.
,"चाँदनी रात में जब भी देखूँ,","Whenever i see you in the night,"
,"सपनों की छाँव में बैठूँ,","sitting in the shade of dreams,"
,"सपनों का प्यारा साथी हो तुम,",you are the lovely companion of dreams
,"चाँद से कहूँ, सच्चा हो तुम","I say to the moon, you are true."
7,मंजिल मिले ना मिले,Whether we reach our destination or not
,ये तो मुखदर की बात है।,It is a matter of fate.
